Link,Company,Title,Location,summary
https://www.jobkorea.co.kr/Recruit/GI_Read/40647460,외국계 기업,7. 외국계 금융사 디지털 마케팅 경력자,서울,"생명보험, 손해보험, 마케팅"
https://www.jobkorea.co.kr/Recruit/GI_Read/40877005,㈜파라다이스세가사미,파라다이스시티 대규모 공개채용 (신입/경력),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40761026,㈜신세계아이앤씨,"신세계아이앤씨 SW개발/운영, 기획, 클라우드, AI, 영업, 보안 경력직 모집",,
https://www.jobkorea.co.kr/Recruit/GI_Read/40749178,유니코써치,[국내 대형 배달플랫폼]Product Owner,서울,"모바일기획, 웹기획, 웹서비스기획, PM"
https://www.jobkorea.co.kr/Recruit/GI_Read/40793956,㈜신세계인터내셔날,(주)신세계인터내셔날 JAJU 영업기획 초대졸 신입사원 정규직 모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40883770,엘에스이모빌리티솔루션,2023년 1분기 부문별 신입/경력 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40891397,쌍용자동차㈜,2023년 쌍용자동차 신입/경력 공개 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40838706,우미건설,우미 1월 경력사원 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40787623,포시즌스호텔서울,[포시즌스호텔서울] 부문별 신입 및 경력 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40773125,외국계 기업,[외국계 대형 제약사] Enterprise Account Manager 경력직 채용,경기,"바이오, 생명공학, 의료기영업, 컨설턴트"
https://www.jobkorea.co.kr/Recruit/GI_Read/40718988,㈜넌럭셔리어스컴퍼니,[파파이스 코리아] 매장관리자 채용(신입/경력/정규직),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40890102,㈜그린카,2023년 각 부문 신입/경력 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40736051,글로벌 자동차 운송 기업,[글로벌 자동차 운송 기업] Customer & Cargo Coordination (일본어),서울 외,"운송, 포워딩, 항공운송, 해상운송, 무역일반, 바이어상담, 일본어, 해외영업, 무역, 무역사무, 무역영어, 수출입무역, 포워딩, 거래처관리, 고객관리, 매출관리, 영업지원"
https://www.jobkorea.co.kr/Recruit/GI_Read/40856772,새마을금고중앙회,새마을금고중앙회 경력직원 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40724843,외국계 기업,외국계 하이엔드 주얼리 브랜드 - Retail Performance manager (차장급),서울,"소비재, 대리점관리, 매출관리, 영업관리, 영업지원, 매장관리, 매출관리, 판매관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40717728,외국계 기업,외국계 기업 Product manager(사원말-대리급),서울,"전동공구, 마케팅, 브랜딩, 프로모션"
https://www.jobkorea.co.kr/Recruit/GI_Read/40689162,외국계 기업,[외국계 식품회사] FP&A 팀장 (부장/ 경력 15년 이상 / 영어 상급/ FMCG 경험),서울,"commercial finance, Financial analysis, Financial planning, FP&A, 식품가공, 재무기획, 재무회계, AICPA, CPA"
https://www.jobkorea.co.kr/Recruit/GI_Read/40683115,대기업,06. Digital Partnership Account Manager[외국계보험사],서울,보험영업
https://www.jobkorea.co.kr/Recruit/GI_Read/40667904,중견기업(300명이상),[외국계 자동차 부품사] 제조원가 회계담당 (과장급),충남,"자동차부품, 원가, 회계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40654834,글로벌 에스테틱 기업,"글로벌 에스테틱 기업 Facial Aesthetics Mgr, Marketing 모집",서울,"의료기기, 제약, 마케팅"
https://www.jobkorea.co.kr/Recruit/GI_Read/40666297,대기업 계열사·자회사,마케팅 기획 (반도체 대기업. 대리-차장급),충북,"전략기획, 디스플레이, 반도체, 반도체생산, 회로설계, IC설계, 사업기획, 신규사업·BD, 인수·합병, 전략, MBA"
https://www.jobkorea.co.kr/Recruit/GI_Read/40665803,대기업,사업개발/전략 전문가 경력직 채용,서울,"신규사업·BD, 인수·합병, 전략"
https://www.jobkorea.co.kr/Recruit/GI_Read/40728587,외국계 소비재,Sr. FP&A Manager 채용,서울,식품가공
https://www.jobkorea.co.kr/Recruit/GI_Read/40681203,중견기업(300명이상),Cosmetics Product Manager (외국계 코스메틱 기업),서울,"백화점, 마케팅, 브랜딩, 시장분석, IMC, BM"
https://www.jobkorea.co.kr/Recruit/GI_Read/40875976,잡코리아/이력써드림,[잡코리아/이력써드림 시즌2] 이력서 무료 컨설팅 이벤트 지원자 모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40866491,서울쇼트공업㈜,Finance Manager (관리/재무/회계 담당) 채용,경남,"금속, 금속가공, 금속재료"
https://www.jobkorea.co.kr/Recruit/GI_Read/40809838,돌비래버러토리스인터내셔널서비시즈인크한국지점,Senior Mobile Audio FAE,서울,"모바일, FAE"
https://www.jobkorea.co.kr/Recruit/GI_Read/40808169,㈜에실로코리아,[㈜에실로코리아] Varilux/Nikon Product Manager 정규직 채용,서울,"의료기기, 마케팅기획"
https://www.jobkorea.co.kr/Recruit/GI_Read/40890650,케이케이데이㈜,"글로벌 여행 플랫폼 KKday 4-5년차 마케터, PR & Corporate Branding",서울,"여행사, 광고관리, 브랜드, 프로모션, PR"
https://www.jobkorea.co.kr/Recruit/GI_Read/40803547,㈜펫박스,[(주)펫박스] 23년 각 분야 인재 채용 (온라인MD/마케터/CS/영업/회계/개발자/사업개발),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40864412,㈜라이온브리지테크놀로지스코리아,마케팅 분야 영한 링귀스트 모집,서울,영어
https://www.jobkorea.co.kr/Recruit/GI_Read/40855258,현대자동차㈜,현대자동차 품질본부 경력 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40872117,㈜메디펠라 Medi-fella,"[Seoul] Medi-Fella, Hiring a new crew of Overseas Marketing",서울,"무역업, 상사, 마케팅, 브랜딩, 소셜미디어, 키워드광고, PR"
https://www.jobkorea.co.kr/Recruit/GI_Read/40758644,우아한청년들,부문별 경력/신입 인재영입,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40869186,㈜모스트애드,[광고대행사] 사무보조 직원모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40702023,㈜엔씨소프트,엔씨소프트 부문별 수시 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40888346,현대자동차㈜,현대자동차 방송콘텐츠 제작 전문가 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40871439,㈜베이크플러스,[외국계기업 Bakeplus] FP&A (Finance Controller) 모집,경기,"제과제빵점, 재무회계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40877890,환인제약㈜,환인제약(주) 1월 신입/경력 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40829669,베스타스코리아윈드테크놀러지,Purchasing Manager (33254),서울,"환경, 기술영업, 장비영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40867379,주한룩셈부르크대표부,Trade & Investment Officer-Luxembourg Trade & Investment Office Seoul,서울,영어
https://www.jobkorea.co.kr/Recruit/GI_Read/40825110,㈜트릿지,Platform Sales Manager (플랫폼 영업),서울,"무역업, 상사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40272738,GS건설㈜,[경력] Prefab/건축/견적/전기/설비/안전/데이터센터,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40870606,씰리코리아컴퍼니유한회사,백화점 영업관리 Account Executive,서울,가구
https://www.jobkorea.co.kr/Recruit/GI_Read/40825073,㈜트릿지,Business Development & Sales Manager,서울,"무역업, 상사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40821948,(유)한국그랜드유니버셜트레이딩,[FMCG 소비재] Brand Manager (Marketing Manager) 채용,서울,"생활용품, 소비재"
https://www.jobkorea.co.kr/Recruit/GI_Read/40829613,베스타스코리아윈드테크놀러지,Service Sales (32640),서울,"환경, 기술영업, 장비영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40829529,㈜맥스트,MAXST 연구소 인력 채용 (전문연구요원/병역특례 가능),서울,"모바일앱개발, 소프트웨어개발, 솔루션, 기술연구소, 연구원, R&D, 기술연구소, 연구원, 정보통신·IT"
https://www.jobkorea.co.kr/Recruit/GI_Read/40721704,㈜ABB코리아,[ABB 코리아] 각 부문 채용,,
